ACTINIUM	89	Ac	112	171	250
PHOSPHORUS	15	P	255	128	0
2S	0	0	0.02326	0.01603	
3S	0.1714	0.4538	0.002284	0.001471	
2P	0	0	0.02756	0.01621	
3P	1.232	0.5061	0.000844	0.0004998	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
2P	0	0	1.169	1.092	
3P	1.584	0.4839	1.128	1.051	
-					
PLATINUM	78	Pt	208	208	224
4S	0	0	0.04433	0.03415	
5S	0	0	0.009842	0.00741	
6S	0.02007	0.02926	0.0003541	0.0002615	
4P	0	0	0.1514	0.119	
5P	0	0	0.02846	0.02136	
4D	0	0	0.3508	0.2642	
5D	29.46	31.33	0.02933	0.02141	
4F	0	0	0.3792	0.227	
-					
PLUTONIUM	94	Pu	0	107	255
4S	0	0	0.06502	0.05109	
5S	0	0	0.02186	0.0163	
6S	0	0	0.0043	0.003201	
4P	0	0	0.214	0.1739	
5P	0	0	0.06604	0.0509	
6P	0	3.103	0.01072	0.008048	
4D	0	0	0.5196	0.4247	
5D	0	0	0.1185	0.09087	
4F	0	0	1.259	0.8102	
5F	1.473	9.45	0.04544	0.0306	
-					
POLONIUM	84	Po	171	92	0
4S	0	0	0.05204	0.04028	
5S	0	0	0.01376	0.01041	
6S	0.01448	0.1688	0.002039	0.001503	
4P	0	0	0.1756	0.1392	
5P	0	0	0.04111	0.03149	
6P	4.721	0.5897	0.002818	0.002129	
4D	0	0	0.4201	0.3262	
5D	0	0	0.06369	0.04801	
4F	0	0	0.6431	0.3952	
-					
POTASSIUM	19	K	143	64	212
2S	0	0	0.0434	0.03094	
